#query	genus	phylum	domain
Pelistega europaea	Pelistega	Pseudomonadota	Bacteria
Peptoclostridium	Peptoclostridium	Bacillota	Bacteria
Peptoclostridium acidaminophilum	Peptoclostridium	Bacillota	Bacteria
Peptoclostridium litorale	Peptoclostridium	Bacillota	Bacteria
Peptoniphilus grossensis	Peptoniphilus	Bacillota	Bacteria
Peptoniphilus harei	Peptoniphilus	Bacillota	Bacteria
Peptostreptococcus	Peptostreptococcus	Bacillota	Bacteria
Peptostreptococcus canis	Peptostreptococcus	Bacillota	Bacteria
Photobacterium	Photobacterium	Pseudomonadota	Bacteria
Phyllobacterium myrsinacearum	Phyllobacterium	Pseudomonadota	Bacteria
Phytobacter ursingii	Phytobacter	Pseudomonadota	Bacteria
Plesiomonas shigelloides	Plesiomonas	Pseudomonadota	Bacteria
Porphyromonas cangingivalis	Porphyromonas	Bacteroidota	Bacteria
Porphyromonas circumdentaria	Porphyromonas	Bacteroidota	Bacteria
Porphyromonas gulae	Porphyromonas	Bacteroidota	Bacteria
Prevotella bivia	Prevotella	Bacteroidota	Bacteria
Prevotella buccalis	Hoylesella	Bacteroidota	Bacteria
Prevotella intermedia	Prevotella	Bacteroidota	Bacteria
Prevotella loescheii	Hoylesella	Bacteroidota	Bacteria
Prevotella melaninogenica	Prevotella	Bacteroidota	Bacteria
Prevotella nigrescens	Prevotella	Bacteroidota	Bacteria
Prevotella timonensis			
Providencia	Providencia	Pseudomonadota	Bacteria
Providencia rettgeri	Providencia	Pseudomonadota	Bacteria
Providencia stuartii	Providencia	Pseudomonadota	Bacteria
Pseudomonas aeruginosa	Pseudomonas	Pseudomonadota	Bacteria
Pseudomonas hunanensis	Pseudomonas	Pseudomonadota	Bacteria
Pseudomonas mendocina	Ectopseudomonas	Pseudomonadota	Bacteria
Pseudomonas oryzihabitans	Pseudomonas	Pseudomonadota	Bacteria
Pseudomonas plecoglossicida	Pseudomonas	Pseudomonadota	Bacteria
Pseudomonas putida	Pseudomonas	Pseudomonadota	Bacteria
Pseudopropionibacterium propionicum	Arachnia	Actinomycetota	Bacteria
Ralstonia picketti			
Rickettsia	Rickettsia	Pseudomonadota	Bacteria
Rickettsia africae	Rickettsia	Pseudomonadota	Bacteria
Rickettsia conorii	Rickettsia	Pseudomonadota	Bacteria
Rickettsia conorii sp. Conorii			
Rickettsia helvetica	Rickettsia	Pseudomonadota	Bacteria
Rickettsia sibirica	Rickettsia	Pseudomonadota	Bacteria
Rickettsia slovaca	Rickettsia	Pseudomonadota	Bacteria
Riemerella anatipestifer	Riemerella	Bacteroidota	Bacteria
Roseomonas	Roseomonas	Pseudomonadota	Bacteria
Roseomonas gilardii	Roseomonas	Pseudomonadota	Bacteria
Roseomonas mucosa	Roseomonas	Pseudomonadota	Bacteria
Ruminococcus albus	Ruminococcus	Bacillota	Bacteria
Ruminococcus bicirculans			
Ruminococcus bromii	Ruminococcus	Bacillota	Bacteria
Ruminococcus callidus	Ruminococcus	Bacillota	Bacteria
Ruminococcus champanellensis	Ruminococcus	Bacillota	Bacteria
Ruminococcus faecis	Mediterraneibacter	Bacillota	Bacteria
Ruminococcus flavefaciens	Ruminococcus	Bacillota	Bacteria
Ruminococcus gauvreauii	Ruminococcus	Bacillota	Bacteria
Ruminococcus lactaris	Mediterraneibacter	Bacillota	Bacteria
Salmonella	Salmonella	Pseudomonadota	Bacteria
Salmonella bongori	Salmonella	Pseudomonadota	Bacteria
Salmonella enterica	Salmonella	Pseudomonadota	Bacteria
Salmonella pullorum			
Salmonella typhimurium			
Schaalia canis	Schaalia	Actinomycetota	Bacteria
Shigella	Shigella	Pseudomonadota	Bacteria
Sphingomonas paucimobilis	Sphingomonas	Pseudomonadota	Bacteria
Staphylococcus	Staphylococcus	Bacillota	Bacteria
