id,C1,C2
(f)Campylobacteraceae sp.,3393,Infinity
Helicobacter marmotae,0,0
Frederiksenia sp.,1173,Infinity
Acinetobacter radioresistens,1434,Infinity
Acinetobacter ursingii,1663,Infinity
Pseudomonas stutzeri,1550,Infinity
Verrucocladosporium dirinae,24,Infinity
Neocatenulostroma sp.,52,Infinity
Aureobasidium leucospermi-namibiae,228,Infinity
Alternaria chenopodiicola,22,Infinity
Penicillium bialowiezense-biourgeianum,0,Infinity
Blumeria graminis,31,Infinity
Podosphaera negeri,75,Infinity
Sawadaea sp.,47,Infinity
Candida parapsilosis,38,Infinity
Candida tropicalis,43,Infinity
Candida sake,208,Infinity
Cyberlindnera jadinii,46,Infinity
Claviceps sp.,838,Infinity
(o)Hypocreales sp.,0,Infinity
(f)Meruliaceae sp.,27,Infinity
Peniophora cinerea,0,Infinity
Malassezia sp.,1,Infinity
Malassezia nana,79,Infinity
Rhodotorula alborubescens-mucilaginosa,76,Infinity
Rhodotorula babjevae-glutinis-graminis,150,Infinity
Filobasidium wieringae,17,Infinity
Naganishia sp.,100,Infinity
Holtermanniella takashimae,37,Infinity
(f)Acidimicrobiaceae sp.,1130,Infinity
(c)Acidimicrobiia sp.,1460,Infinity
Schaalia canis,35,Infinity
Schaalia meyeri,9573,Infinity
Corynebacterium aurimucosum,3680,Infinity
Corynebacterium mastitidis,0,Infinity
Corynebacterium pseudogenitalium,6516,Infinity
Corynebacterium urealyticum,4723,Infinity
Dietzia lutea,2445,Infinity
Gordonia otitidis,2660,Infinity
Rhodococcus fascians,2655,Infinity
Klenkia sp.,1403,Infinity
Brevibacterium iodinum,3313,Infinity
Actinotalea sp.,1303,Infinity
Mobilicoccus sp.,2136,Infinity
Knoellia subterranea,4453,Infinity
Agrococcus jenensis-pavilionensis,2560,Infinity
Curtobacterium flaccumfaciens,3476,Infinity
Frigoribacterium faeni,2300,Infinity
Pseudoclavibacter helvolus,1136,Infinity
Arthrobacter crystallopoietes,5093,Infinity
Citricoccus nitrophenolicus,2646,Infinity
Glutamicibacter ardleyensis,1740,Infinity
Paeniglutamicibacter sulfureus,2810,Infinity
Rothia amarae,2136,Infinity
Marmoricola scoriae,2596,Infinity
Tessaracoccus oleiagri,1560,Infinity
(p)Actinobacteria sp.,773,Infinity
Solirubrobacter sp.,683,Infinity
(c)Armatimonadia sp.,1686,Infinity
Porphyromonas pasteri,8136,Infinity
Pedobacter duraquae,996,Infinity
Sphingobacterium multivorum,3496,Infinity
(f)Bacillaria paxillifer sp.,2263,Infinity
Cypripedium macranthos,1930,Infinity
(p)Cyanobacteria sp.,1513,Infinity
Bacillus niacini,1460,Infinity
Gemella palaticanis,316,Infinity
Gemella sanguinis,566,Infinity
Exiguobacterium indicum,1360,Infinity
Ammoniphilus sp.,2030,Infinity
Planococcus antarcticus,714,Infinity
Planomicrobium chinense,1993,Infinity
Macrococcus caseolyticus,4047,Infinity
Facklamia tabacinasalis,2586,Infinity
Alloiococcus otitis,1230,Infinity
Lacticigenium sp.,Unknown,Unknown
Lactobacillus crispatus,0,Infinity
Streptococcus sanguinis-viridans,1010,Infinity
Streptococcus suis,1112,Infinity
Clostridium celatum,1090,Infinity
(f)Clostridiales Family XII. Incertae Sedis sp.,1810,Infinity
(f)Family XI sp.,2173,Infinity
(f)Family XIII sp.,Unknown,Unknown
Anaerobutyricum hallii,2910,Infinity
Blautia glucerasea,4383,Infinity
Blautia massiliensis,773,Infinity
Subdoligranulum sp.,1396,Infinity
Allobaculum sp.,56760,Infinity
Veillonella parvula,3950,Infinity
Anaerococcus hydrogenalis,1296,Infinity
Anaerococcus vaginalis,64,Infinity
Peptoniphilus coxii,0,0
Fusobacterium canifelinum,1723,Infinity
Leptotrichia buccalis,3816,Infinity
Chlorochromatium sp.,0,Infinity
(c)Phycisphaerae sp.,2066,Infinity
(c)Planctomycetia sp.,7140,Infinity
Brevundimonas basaltis,2033,Infinity
Brevundimonas naejangsanensis-olei,6525,Infinity
Microvirga soli-zambiensis,2386,Infinity
Agrobacterium rhizogenes-tumefaciens,0,Infinity
Rhizobium rosettiformans,2720,Infinity
Paracoccus chinensis,2926,Infinity
Paracoccus mutanolyticus-yeei,2143,Infinity
Skermanella sp.,1760,Infinity
Salvia miltiorrhiza miltiorrhiza,916,Infinity
Altererythrobacter sp.,2966,Infinity
(o)Sphingomonadales sp.,2136,Infinity
Paraburkholderia bryophila,520,Infinity
Comamonas aquatica,2810,Infinity
Massilia haematophila,1706,Infinity
Undibacterium sp.,Unknown,Unknown
Helicobacter cinaedi,585,Infinity
Aeromonas sp.,2136,Infinity
Anaerobiospirillum sp.,4206,Infinity
Citrobacter freundii,960,Infinity
Enterobacter cloacae,390,Infinity
Klebsiella oxytoca,277,Infinity
(f)Enterobacteriaceae aerogenes-ornithinolytica-planticola,883,Infinity
Pantoea eucrina,7100,Infinity
(o)Enterobacterales sp.,1363,Infinity
Pseudomonas bauzanensis-xiamenensis,3186,Infinity
Pseudomonas protegens,350,Infinity
